date,action,ticker,name,value,contraticker,contraname,_ticker
2013-05-07,split,BXMT,BLACKSTONE MORTGAGE TRUST INC,0.1,N/A,N/A,BXMT
2003-04-03,split,BXMT,BLACKSTONE MORTGAGE TRUST INC,0.33333,N/A,N/A,BXMT
2011-05-09,split,C,CITIGROUP INC,0.1,N/A,N/A,C
2000-08-28,split,C,CITIGROUP INC,1.33333,N/A,N/A,C
1999-06-01,split,C,CITIGROUP INC,1.5,N/A,N/A,C
2001-12-07,split,CACI,CACI INTERNATIONAL INC,2,N/A,N/A,CACI
2001-04-23,split,CAH,CARDINAL HEALTH INC,1.5,N/A,N/A,CAH
1998-11-02,split,CAH,CARDINAL HEALTH INC,1.5,N/A,N/A,CAH
2004-12-09,split,CAKE,CHEESECAKE FACTORY INC,1.5,N/A,N/A,CAKE
2001-06-19,split,CAKE,CHEESECAKE FACTORY INC,1.5,N/A,N/A,CAKE
2000-06-09,split,CAKE,CHEESECAKE FACTORY INC,1.5,N/A,N/A,CAKE
1998-04-02,split,CAKE,CHEESECAKE FACTORY INC,1.5,N/A,N/A,CAKE
2014-11-03,split,CALM,CAL-MAINE FOODS INC,2,N/A,N/A,CALM
2004-04-26,split,CALM,CAL-MAINE FOODS INC,2,N/A,N/A,CALM
2006-09-05,split,CAR,AVIS BUDGET GROUP INC,0.1,N/A,N/A,CAR
1998-02-17,split,CASY,CASEYS GENERAL STORES INC,2,N/A,N/A,CASY
2005-07-14,split,CAT,CATERPILLAR INC,2,N/A,N/A,CAT
2004-09-29,split,CATY,CATHAY GENERAL BANCORP,2,N/A,N/A,CATY
2002-05-10,split,CATY,CATHAY GENERAL BANCORP,2,N/A,N/A,CATY
1998-03-03,split,CB,CHUBB LTD,3,N/A,N/A,CB
2006-06-02,split,CBRE,CBRE GROUP INC,3,N/A,N/A,CBRE
2004-04-01,split,CBRE,CBRE GROUP INC,3,N/A,N/A,CBRE
2025-12-02,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2024-12-03,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2023-12-01,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2022-12-01,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2021-12-01,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2020-12-01,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2019-12-02,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2018-11-29,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2017-11-29,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2016-11-30,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2015-11-24,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2014-11-25,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2013-11-26,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2012-11-28,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2011-11-28,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2010-12-02,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2009-11-25,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2008-11-12,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2007-11-27,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2006-11-27,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2005-11-25,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2004-11-24,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2003-11-25,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2002-11-26,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2001-11-28,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
2000-11-28,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
1999-11-26,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
1998-11-25,split,CBSH,COMMERCE BANCSHARES INC,1.05,N/A,N/A,CBSH
1998-03-31,split,CBSH,COMMERCE BANCSHARES INC,1.5,N/A,N/A,CBSH
2004-04-13,split,CBU,COMMUNITY FINANCIAL SYSTEM INC,2,N/A,N/A,CBU
1998-06-15,split,CCL,CARNIVAL CORP LTD,2,N/A,N/A,CCL
2009-05-27,split,CDE,COEUR MINING INC,0.1,N/A,N/A,CDE
2013-06-26,split,CDW,CDW CORP,142.91216,N/A,N/A,CDW
2023-11-15,split,CELH,CELSIUS HOLDINGS INC,3,N/A,N/A,CELH
2024-02-09,split,CENT,CENTRAL GARDEN & PET CO,1.25,N/A,N/A,CENT
2007-02-06,split,CENT,CENTRAL GARDEN & PET CO,3,N/A,N/A,CENT
2015-06-18,split,CF,CF INDUSTRIES HOLDINGS INC,5,N/A,N/A,CF
1999-06-23,split,CFR,CULLEN/FROST BANKERS INC,2,N/A,N/A,CFR
2017-12-04,split,CGNX,COGNEX CORP,2,N/A,N/A,CGNX
2013-09-17,split,CGNX,COGNEX CORP,2,N/A,N/A,CGNX
2016-09-02,split,CHD,CHURCH & DWIGHT CO INC,2,N/A,N/A,CHD
2011-06-02,split,CHD,CHURCH & DWIGHT CO INC,2,N/A,N/A,CHD
2004-09-02,split,CHD,CHURCH & DWIGHT CO INC,1.5,N/A,N/A,CHD
1999-09-02,split,CHD,CHURCH & DWIGHT CO INC,2,N/A,N/A,CHD
2023-05-22,split,CHDN,CHURCHILL DOWNS INC,2,N/A,N/A,CHDN
2019-01-28,split,CHDN,CHURCHILL DOWNS INC,3,N/A,N/A,CHDN
1998-04-15,split,CHDN,CHURCHILL DOWNS INC,2,N/A,N/A,CHDN
2005-05-12,split,CHE,CHEMED CORP,2,N/A,N/A,CHE
2005-10-24,split,CHH,CHOICE HOTELS INTERNATIONAL INC,2,N/A,N/A,CHH
2005-10-17,split,CHRW,C H ROBINSON WORLDWIDE INC,2,N/A,N/A,CHRW
2000-12-04,split,CHRW,C H ROBINSON WORLDWIDE INC,2,N/A,N/A,CHRW
2007-06-05,split,CI,CIGNA GROUP,3,N/A,N/A,CI
1998-05-18,split,CI,CIGNA GROUP,3,N/A,N/A,CI
2006-09-25,split,CIEN,CIENA CORP,0.14286,N/A,N/A,CIEN
2000-09-19,split,CIEN,CIENA CORP,2,N/A,N/A,CIEN
2005-04-04,split,CINF,CINCINNATI FINANCIAL CORP,1.05,N/A,N/A,CINF
2004-04-28,split,CINF,CINCINNATI FINANCIAL CORP,1.05,N/A,N/A,CINF
1998-05-18,split,CINF,CINCINNATI FINANCIAL CORP,3,N/A,N/A,CINF
2013-05-16,split,CL,COLGATE PALMOLIVE CO,2,N/A,N/A,CL
1999-07-01,split,CL,COLGATE PALMOLIVE CO,2,N/A,N/A,CL
2008-05-16,split,CLF,CLEVELAND-CLIFFS INC,2,N/A,N/A,CLF
2006-07-03,split,CLF,CLEVELAND-CLIFFS INC,2,N/A,N/A,CLF
2005-01-03,split,CLF,CLEVELAND-CLIFFS INC,2,N/A,N/A,CLF
2011-07-27,split,CLH,CLEAN HARBORS INC,2,N/A,N/A,CLH
2019-12-11,split,CLSK,CLEANSPARK INC,0.1,N/A,N/A,CLSK
2013-02-16,split,CLSK,CLEANSPARK INC,0.0256,N/A,N/A,CLSK
1999-08-24,split,CLX,CLOROX CO,2,N/A,N/A,CLX
2006-05-23,split,CMC,COMMERCIAL METALS CO,2,N/A,N/A,CMC
2005-01-11,split,CMC,COMMERCIAL METALS CO,2,N/A,N/A,CMC
2002-07-01,split,CMC,COMMERCIAL METALS CO,2,N/A,N/A,CMC
2017-02-21,split,CMCSA,COMCAST CORP,2,N/A,N/A,CMCSA
2007-02-22,split,CMCSA,COMCAST CORP,1.5,N/A,N/A,CMCSA
1999-05-06,split,CMCSA,COMCAST CORP,2,N/A,N/A,CMCSA
2012-07-23,split,CME,CME GROUP INC,5,N/A,N/A,CME
2024-06-26,split,CMG,CHIPOTLE MEXICAN GRILL INC,50,N/A,N/A,CMG
2008-01-03,split,CMI,CUMMINS INC,2,N/A,N/A,CMI
2007-04-10,split,CMI,CUMMINS INC,2,N/A,N/A,CMI
2019-02-07,split,CNC,CENTENE CORP,2,N/A,N/A,CNC
2015-02-20,split,CNC,CENTENE CORP,2,N/A,N/A,CNC
2004-12-20,split,CNC,CENTENE CORP,2,N/A,N/A,CNC
2003-07-14,split,CNC,CENTENE CORP,1.5,N/A,N/A,CNC
2017-11-29,split,CNX,CNX RESOURCES CORP,1.2,N/A,N/A,CNX
2006-06-01,split,CNX,CNX RESOURCES CORP,2,N/A,N/A,CNX
2000-05-24,split,CNXN,PC CONNECTION INC,1.5,N/A,N/A,CNXN
2021-10-11,split,COCO,VITA COCO COMPANY INC,455,N/A,N/A,COCO
1999-06-02,split,COF,CAPITAL ONE FINANCIAL CORP,3,N/A,N/A,COF
2011-06-27,split,COHR,COHERENT CORP,2,N/A,N/A,COHR
2005-03-23,split,COHR,COHERENT CORP,2,N/A,N/A,COHR
2000-09-21,split,COHR,COHERENT CORP,2,N/A,N/A,COHR
1999-09-27,split,COHU,COHU INC,2,N/A,N/A,COHU
2025-05-27,split,COKE,COCA-COLA CONSOLIDATED INC,10,N/A,N/A,COKE
1998-05-21,split,COLB,COLUMBIA BANKING SYSTEM INC,1.5,N/A,N/A,COLB
2014-09-29,split,COLM,COLUMBIA SPORTSWEAR CO,2,N/A,N/A,COLM
2001-06-05,split,COLM,COLUMBIA SPORTSWEAR CO,1.5,N/A,N/A,COLM
2024-02-20,split,COO,COOPER COMPANIES INC,4,N/A,N/A,COO
2002-11-25,split,COO,COOPER COMPANIES INC,2,N/A,N/A,COO
2005-06-02,split,COP,CONOCOPHILLIPS,2,N/A,N/A,COP
2009-06-16,split,COR,CENCORA INC,2,N/A,N/A,COR
2005-12-29,split,COR,CENCORA INC,2,N/A,N/A,COR
1999-03-25,split,COR,CENCORA INC,2,N/A,N/A,COR
2000-01-14,split,COST,COSTCO WHOLESALE CORP,2,N/A,N/A,COST
2014-09-09,split,CPK,CHESAPEAKE UTILITIES CORP,1.5,N/A,N/A,CPK
2023-08-22,split,CPRT,COPART INC,2,N/A,N/A,CPRT
2022-11-04,split,CPRT,COPART INC,2,N/A,N/A,CPRT
2017-04-11,split,CPRT,COPART INC,2,N/A,N/A,CPRT
2012-03-29,split,CPRT,COPART INC,2,N/A,N/A,CPRT
2002-01-22,split,CPRT,COPART INC,1.5,N/A,N/A,CPRT
2000-01-25,split,CPRT,COPART INC,2,N/A,N/A,CPRT
1999-01-29,split,CPRT,COPART INC,2,N/A,N/A,CPRT
2022-09-06,split,CRBG,COREBRIDGE FINANCIAL INC,6450,N/A,N/A,CRBG
1998-08-24,split,CRH,CRH PUBLIC LTD CO,5,N/A,N/A,CRH
2016-08-01,split,CRK,COMSTOCK RESOURCES INC,0.2,N/A,N/A,CRK
2013-04-18,split,CRM,SALESFORCE INC,4,N/A,N/A,CRM
2007-06-15,split,CROX,CROCS INC,2,N/A,N/A,CROX
2007-11-16,split,CRS,CARPENTER TECHNOLOGY CORP,2,N/A,N/A,CRS
2024-12-26,split,CRVL,CORVEL CORP,3,N/A,N/A,CRVL
2013-06-27,split,CRVL,CORVEL CORP,2,N/A,N/A,CRVL
2006-12-11,split,CRVL,CORVEL CORP,1.5,N/A,N/A,CRVL
2001-09-04,split,CRVL,CORVEL CORP,1.5,N/A,N/A,CRVL
1999-06-15,split,CRVL,CORVEL CORP,2,N/A,N/A,CRVL
2026-07-02,split,CRWD,CROWDSTRIKE HOLDINGS INC,4,N/A,N/A,CRWD
2000-03-23,split,CSCO,CISCO SYSTEMS INC,2,N/A,N/A,CSCO
1999-06-22,split,CSCO,CISCO SYSTEMS INC,2,N/A,N/A,CSCO
1998-09-16,split,CSCO,CISCO SYSTEMS INC,1.5,N/A,N/A,CSCO
2021-06-28,split,CSGP,COSTAR GROUP INC,10,N/A,N/A,CSGP
2007-03-20,split,CSL,CARLISLE COMPANIES INC,2,N/A,N/A,CSL
2021-06-29,split,CSX,CSX CORP,3,N/A,N/A,CSX
2011-06-16,split,CSX,CSX CORP,3,N/A,N/A,CSX
2006-08-16,split,CSX,CSX CORP,2,N/A,N/A,CSX
2024-09-12,split,CTAS,CINTAS CORP,4,N/A,N/A,CTAS
2000-03-08,split,CTAS,CINTAS CORP,1.5,N/A,N/A,CTAS
2014-03-10,split,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2,N/A,N/A,CTSH
